Datums;Valsts;14DienuKumulativaIncidence;Izcelosana;Pasizolacija;PersIrVakcParslSert_PasizolacijaLatvija;PersIrVakcParslSert_TestsPirmsIebrauksanasLV;PersIrVakcParslSert_TestsPecIebrauksanasLV;CitasPersonas_PasizolacijaLatvija;CitasPersonas_TestsPirmsIebrauksanasLV;CitasPersonas_TestsPecIebrauksanasLV
2020.07.17.;Luksemburga;118.4;Rekomendēts nebraukt;14 dienas pēc izbraukšanas no  valsts vai valsts šķērsošanas tranzīta nolūkā;…;…;…;…;…;…
2020.07.17.;Zviedrija;61;Rekomendēts nebraukt;14 dienas pēc izbraukšanas no  valsts vai valsts šķērsošanas tranzīta nolūkā;…;…;…;…;…;…
2020.07.17.;Portugāle;48.5;Rekomendēts nebraukt;14 dienas pēc izbraukšanas no  valsts vai valsts šķērsošanas tranzīta nolūkā;…;…;…;…;…;…
2020.07.17.;Sanmarīno;47.2;Rekomendēts nebraukt;14 dienas pēc izbraukšanas no  valsts vai valsts šķērsošanas tranzīta nolūkā;…;…;…;…;…;…
2020.07.17.;Bulgārija;40.4;Rekomendēts nebraukt;14 dienas pēc izbraukšanas no  valsts vai valsts šķērsošanas tranzīta nolūkā;…;…;…;…;…;…
2020.07.17.;Rumānija;37.4;Rekomendēts nebraukt;14 dienas pēc izbraukšanas no  valsts vai valsts šķērsošanas tranzīta nolūkā;…;…;…;…;…;…
2020.07.17.;Andora;28.5;Rekomendēts nebraukt;14 dienas pēc izbraukšanas no  valsts vai valsts šķērsošanas tranzīta nolūkā;…;…;…;…;…;…
2020.07.17.;Horvātija;27.6;Rekomendēts nebraukt;14 dienas pēc izbraukšanas no  valsts vai valsts šķērsošanas tranzīta nolūkā;…;…;…;…;…;…
2020.07.17.;Islande;17.9;Izvērtēt brauciena nepieciešamību;14 dienas pēc izbraukšanas no  valsts vai valsts šķērsošanas tranzīta nolūkā;…;…;…;…;…;…
2020.07.17.;Spānija;17.7;Izvērtēt brauciena nepieciešamību;14 dienas pēc izbraukšanas no  valsts vai valsts šķērsošanas tranzīta nolūkā;…;…;…;…;…;…
2020.07.17.;Šveice;15.3;Ivērot standarta piesardzību;nav jāievēro;…;…;…;…;…;…
2020.07.17.;Austrija;14.9;Ievērot standarta piesardzību;nav jāievēro;…;…;…;…;…;…
2020.07.17.;Čehija;13.5;Ievērot standarta piesardzību;nav jāievēro;…;…;…;…;…;…
2020.07.17.;Apvienotā Karaliste;13.2;Ievērot standarta piesardzību;nav jāievēro;…;…;…;…;…;…
2020.07.17.;Beļģija;13.2;Ievērot standarta piesardzību;nav jāievēro;…;…;…;…;…;…
2020.07.17.;Slovēnija;12.7;Ievērot standarta piesardzību;nav jāievēro;…;…;…;…;…;…
2020.07.17.;Francija;11.1;Ievērot standarta piesardzību;nav jāievēro;…;…;…;…;…;…
2020.07.17.;Polija;10.3;Ievērot standarta piesardzību;nav jāievēro;…;…;…;…;…;…
2020.07.17.;Monako;7.6;Ievērot standarta piesardzību;nav jāievēro;…;…;…;…;…;…
2020.07.17.;Vācija;6.2;Ievērot standarta piesardzību;nav jāievēro;…;…;…;…;…;…
2020.07.17.;Nīderlande;5.4;Ievērot standarta piesardzību;nav jāievēro;…;…;…;…;…;…
2020.07.17.;Dānija;5.3;Ievērot standarta piesardzību;nav jāievēro;…;…;…;…;…;…
2020.07.17.;Lihtenšteina;5.2;Ievērot standarta piesardzību;nav jāievēro;…;…;…;…;…;…
2020.07.17.;Itālija;4.6;Ievērot standarta piesardzību;nav jāievēro;…;…;…;…;…;…
2020.07.17.;Slovākija;4.6;Ievērot standarta piesardzību;nav jāievēro;…;…;…;…;…;…
2020.07.17.;Grieķija;4.5;Ievērot standarta piesardzību;nav jāievēro;…;…;…;…;…;…
2020.07.17.;Īrija;4.3;Ievērot standarta piesardzību;nav jāievēro;…;…;…;…;…;…
2020.07.17.;Latvija;3;Ievērot standarta piesardzību;nav jāievēro;…;…;…;…;…;…
2020.07.17.;Lietuva;2.8;Ievērot standarta piesardzību;nav jāievēro;…;…;…;…;…;…
2020.07.17.;Norvēģija;2.2;Ievērot standarta piesardzību;nav jāievēro;…;…;…;…;…;…
2020.07.17.;Igaunija;2;Ievērot standarta piesardzību;nav jāievēro;…;…;…;…;…;…
2020.07.17.;Somija;0.9;Ievērot standarta piesardzību;nav jāievēro;…;…;…;…;…;…
2020.07.17.;Kipra;3.7;Ievērot standarta piesardzību;nav jāievēro;…;…;…;…;…;…
2020.07.17.;Malta;0.8;Ievērot standarta piesardzību;nav jāievēro;…;…;…;…;…;…
2020.07.17.;Ungārija;1.2;Ievērot standarta piesardzību;nav jāievēro;…;…;…;…;…;…
2020.07.17.;Vatikāns;0;Ievērot standarta piesardzību;nav jāievēro;…;…;…;…;…;…
2020.07.17.;Alžīrija;<16;Ievērot standarta piesardzību;nav jāievēro;…;…;…;…;…;…
2020.07.17.;Austrālija;<16;Ievērot standarta piesardzību;nav jāievēro;…;…;…;…;…;…
2020.07.17.;Kanāda;<16;Ievērot standarta piesardzību;nav jāievēro;…;…;…;…;…;…
2020.07.17.;Gruzija;<16;Ievērot standarta piesardzību;nav jāievēro;…;…;…;…;…;…
2020.07.17.;Japāna;<16;Ievērot standarta piesardzību;nav jāievēro;…;…;…;…;…;…
2020.07.17.;Maroka;<16;Ievērot standarta piesardzību;nav jāievēro;…;…;…;…;…;…
2020.07.17.;Jaunzēlande;<16;Ievērot standarta piesardzību;nav jāievēro;…;…;…;…;…;…
2020.07.17.;Ruanda;<16;Ievērot standarta piesardzību;nav jāievēro;…;…;…;…;…;…
2020.07.17.;Dienvidkoreja;<16;Ievērot standarta piesardzību;nav jāievēro;…;…;…;…;…;…
2020.07.17.;Taizeme;<16;Ievērot standarta piesardzību;nav jāievēro;…;…;…;…;…;…
2020.07.17.;Tunisija;<16;Ievērot standarta piesardzību;nav jāievēro;…;…;…;…;…;…
2020.07.17.;Urugvaja;<16;Ievērot standarta piesardzību;nav jāievēro;…;…;…;…;…;…
2020.07.17.;Citas valstis;...;Rekomendēts nebraukt;14 dienas pēc izbraukšanas no  valsts vai valsts šķērsošanas tranzīta nolūkā;…;…;…;…;…;…
2020.07.24.;Luksemburga;200.8;Rekomendēts nebraukt;14 dienas pēc izbraukšanas no valsts vai valsts šķērsošanas tranzīta nolūkā;…;…;…;…;…;…
2020.07.24.;Rumānija;54;Rekomendēts nebraukt;14 dienas pēc izbraukšanas no valsts vai valsts šķērsošanas tranzīta nolūkā;…;…;…;…;…;…
2020.07.24.;Bulgārija;45.4;Rekomendēts nebraukt;14 dienas pēc izbraukšanas no valsts vai valsts šķērsošanas tranzīta nolūkā;…;…;…;…;…;…
2020.07.24.;Andora;44;Rekomendēts nebraukt;14 dienas pēc izbraukšanas no  valsts vai valsts šķērsošanas tranzīta nolūkā;…;…;…;…;…;…
2020.07.24.;Zviedrija;43.3;Rekomendēts nebraukt;14 dienas pēc izbraukšanas no valsts vai valsts šķērsošanas tranzīta nolūkā;…;…;…;…;…;…
2020.07.24.;Portugāle;39.9;Rekomendēts nebraukt;14 dienas pēc izbraukšanas no valsts vai valsts šķērsošanas tranzīta nolūkā;…;…;…;…;…;…
2020.07.24.;Spānija;34.6;Rekomendēts nebraukt;14 dienas pēc izbraukšanas no valsts vai valsts šķērsošanas tranzīta nolūkā;…;…;…;…;…;…
2020.07.24.;Horvātija;29.9;Rekomendēts nebraukt;14 dienas pēc izbraukšanas no valsts vai valsts šķērsošanas tranzīta nolūkā;…;…;…;…;…;…
2020.07.24.;Beļģija;19.4;Izvērtēt brauciena nepieciešamību;14 dienas pēc izbraukšanas no valsts vai valsts šķērsošanas tranzīta nolūkā;…;…;…;…;…;…
2020.07.24.;Čehija;17.7;Izvērtēt brauciena nepieciešamību;14 dienas pēc izbraukšanas no valsts vai valsts šķērsošanas tranzīta nolūkā;…;…;…;…;…;…
2020.07.24.;Austrija;17.3;Izvērtēt brauciena nepieciešamību;14 dienas pēc izbraukšanas no valsts vai valsts šķērsošanas tranzīta nolūkā;…;…;…;…;…;…
2020.07.24.;Šveice;16.3;Izvērtēt brauciena nepieciešamību;14 dienas pēc izbraukšanas no valsts vai valsts šķērsošanas tranzīta nolūkā;…;…;…;…;…;…
2020.07.24.;Monako;15.3;Ievērot standarta piesardzību;Nav jāievēro;…;…;…;…;…;…
2020.07.24.;Apvienotā Karaliste;14.3;Ievērot standarta piesardzību;Nav jāievēro;…;…;…;…;…;…
2020.07.24.;Francija;13.6;Ievērot standarta piesardzību;Nav jāievēro;…;…;…;…;…;…
2020.07.24.;Slovēnija;12.4;Ievērot standarta piesardzību;Nav jāievēro;…;…;…;…;…;…
2020.07.24.;Polija;12.2;Ievērot standarta piesardzību;Nav jāievēro;…;…;…;…;…;…
2020.07.24.;Nīderlande;9.3;Ievērot standarta piesardzību;Nav jāievēro;…;…;…;…;…;…
2020.07.24.;Dānija;8.2;Ievērot standarta piesardzību;Nav jāievēro;…;…;…;…;…;…
2020.07.24.;Vācija;7.2;Ievērot standarta piesardzību;Nav jāievēro;…;…;…;…;…;…
2020.07.24.;Sanmarīno;5.9;Ievērot standarta piesardzību;Nav jāievēro;…;…;…;…;…;…
2020.07.24.;Īrija;5.3;Ievērot standarta piesardzību;Nav jāievēro;…;…;…;…;…;…
2020.07.24.;Lihtenšteina;5.2;Ievērot standarta piesardzību;Nav jāievēro;…;…;…;…;…;…
2020.07.24.;Itālija;4.9;Ievērot standarta piesardzību;Nav jāievēro;…;…;…;…;…;…
2020.07.24.;Slovākija;4.4;Ievērot standarta piesardzību;Nav jāievēro;…;…;…;…;…;…
2020.07.24.;Grieķija;4.1;Ievērot standarta piesardzību;Nav jāievēro;…;…;…;…;…;…
2020.07.24.;Kipra;4;Ievērot standarta piesardzību;Nav jāievēro;…;…;…;…;…;…
